r_prime_um,beta,A,beta_se,r2,n_frames,epsilon_final,trial_id
2100,0.7899477871575821,6.939456933065244,0.05314114136474236,0.9608646079644718,11,0.07651514959989875,0.5to1.7
2400,1.1134607883680876,3.4121549014637123,0.06544319686060646,0.9698473793818835,11,0.06910132531436808,0.5to1.7
2700,1.2533170524065478,2.556092035321207,0.07185101800944202,0.9712705903240313,11,0.05952782643048951,0.5to1.7
3000,1.2067202456832717,2.8856502129120627,0.11505975708879966,0.924365499270635,11,0.04777570759307509,0.5to1.7
3300,0.4996523862485212,12.234916326542947,0.018827954345849232,0.9957582457121916,5,0.005647684374435784,0.5to1.7
0,0.3393962335295517,10.812807862666642,0.03556370755618367,0.9100675994599268,11,0.07134011414870843,1to1.1
300,1.0189664698781769,2.72924396140834,0.06382207225365204,0.9732727293958625,9,0.14503397854558517,1to1.1
600,0.7149380619624123,7.415424658596324,0.059229712015792156,0.9418226361663881,11,0.12363063635604163,1to1.1
900,0.7791772760245452,6.888440857939191,0.040312152171891866,0.9764764059276834,11,0.11193950266531497,1to1.1
1200,0.6954384121174952,8.814164089224638,0.06636475120485628,0.9320941251258097,10,0.09242761433963016,1to1.1
1500,0.9543459809553957,4.7773234817921235,0.07261477440211844,0.9504753240158295,11,0.07793221695683841,1to1.1
1800,0.9071750260967122,5.50699312913872,0.048313047329529665,0.9751089988598338,11,0.07151139390405091,1to1.1
2100,0.7252262785966263,8.898167339756238,0.06612536186976148,0.9303862765059224,11,0.07090403260901067,1to1.1
2400,0.9411657285647294,5.180608677374992,0.11650507257363421,0.9031266822311385,9,0.06136401817398288,1to1.1
2700,0.9322234235297249,5.809189933457055,0.06051682897841726,0.9634583819832901,11,0.05493680102456956,1to1.1
3000,0.4382760735084805,17.498943122267555,0.07082162088337615,0.8645503893254419,8,0.04231754023644723,1to1.1
0,0.5925180552527034,4.292975948749652,0.0570304915062702,0.9230385240180548,11,0.06346401071154181,1to1.2
300,0.32703717193834225,10.484299558919842,0.06181933670027407,0.7999217094347633,9,0.13365904517476715,1to1.2
600,0.5382361834740512,7.303964052945332,0.059740547904722933,0.9206099077305457,9,0.11661475819941435,1to1.2
900,0.4081097884413266,11.081552918157605,0.09687524187021734,0.8160677845142792,6,0.10174217418310848,1to1.2
1200,0.5001330425598176,8.955616194066014,0.06983052779786254,0.9111831741115911,7,0.08692134586323917,1to1.2
1500,0.5827933006709541,7.589844689125468,0.05912610651921095,0.9418357814746342,8,0.08187643240992373,1to1.2
1800,0.8433620019728894,4.100712055641884,0.05446568304085565,0.9677110777838148,10,0.06755341399916857,1to1.2
2100,0.8105413256458387,4.473672392928409,0.04066350346115145,0.9802625224784524,10,0.06844651177057619,1to1.2
2400,0.522778643697504,9.415547776406237,0.05008788738278484,0.9396217064889741,9,0.060903543498925926,1to1.2
2700,0.30308824981989113,16.347236577579274,0.0308397274071421,0.9147619577496315,11,0.021453872598880736,1to1.2
300,0.3537813430884399,11.929121700087375,0.04467486810456109,0.874496132824808,11,0.14279812403507355,1to1.3
600,0.1475364879371082,21.924819007978236,0.058085194986472924,0.4796161213259368,9,0.11999921241644987,1to1.3
900,0.3340806421276244,14.223793409004735,0.02288739798853739,0.959471116964065,11,0.0927108561399835,1to1.3
1200,0.5934535922582905,7.789415895976477,0.04753952406491392,0.9453998101004987,11,0.08153069039866997,1to1.3
1500,0.8355226165594041,4.51474616921103,0.03878242667613292,0.9830557759280364,10,0.0739119113070544,1to1.3
1800,0.7193191687751312,6.294590298961607,0.035459967125675854,0.9785967526991051,11,0.06557147819447455,1to1.3
2100,0.6121887237295861,8.444075793391274,0.029283725660567642,0.9798222919993705,11,0.062156869101987686,1to1.3
2400,0.7702257792131357,5.803138580257689,0.021863790461415927,0.992800220648453,11,0.057654300154339366,1to1.3
2700,0.48694698753003546,11.409270583495866,0.028961597431001726,0.9691458691804609,11,0.0382539558929146,1to1.3
